"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"pinitol","D-Pinitol","HMDB0034219","0","C03844","CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O","1"
"serine","Serine","HMDB0000187","5951","C00065","N[C@@H](CO)C(O)=O","1"
"phosphoethanolamine","O-Phosphoethanolamine","HMDB0000224","1015","C00346","NCCOP(O)(O)=O","1"
"threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@@H](O)[C@H](N)C(O)=O","1"
"N-methylethanolamine","N-methylethanolamine","HMDB0142449","8016",NA,NA,"1"
"2-ketoisocaproic acid","Ketoleucine","HMDB0000695","70","C00233","CC(C)CC(=O)C(O)=O","1"
"proline","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"lyxose","L-Arabinose","HMDB0000646","439764","C00259","O[C@H]1CO[C@H](O)[C@H](O)[C@H]1O","1"
"pyrrole-2-carboxylic acid","Pyrrole-2-carboxylic acid","HMDB0004230","12473","C05942","OC(=O)C1=CC=CN1","1"
"alanine","L-Alanine","HMDB0000161","5950","C00041","C[C@H](N)C(O)=O","1"
"uracil","Uracil","HMDB0000300","1174","C00106","O=C1NC=CC(=O)N1","1"
"methionine sulfoxide","Methionine sulfoxide","HMDB0002005","158980","C02989","CS(=O)CC[C@H](N)C(O)=O","1"
"urea","Urea","HMDB0000294","1176","C00086","NC(N)=O","1"
"methanolphosphate","Methylphosphate","HMDB0061711","13130",NA,"COP(O)(O)=O","1"
"ononitol","D-4-O-Methyl-myo-inositol","HMDB0029915",NA,"C06353","CO[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O","1"
"N-acetylglucosamine-6-phosphate","N-Acetyl-D-Glucosamine 6-Phosphate","HMDB0001062","440996","C00357","CC(=O)N[C@H]1C(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O","1"
"asparagine","L-Asparagine","HMDB0000168","6267","C00152","N[C@@H](CC(N)=O)C(O)=O","1"
"xylitol","Xylitol","HMDB0242149","6912","C00379","OC[C@H](O)C(O)[C@H](O)CO","1"
"3-Amino-2-piperidone","3-Amino-2-piperidone","HMDB0000323","5200225",NA,"NC1CCCNC1=O","1"
"arabitol","D-Arabitol","HMDB0000568","94154","C01904","OC[C@@H](O)C(O)[C@H](O)CO","1"
